"project
name","sample
id","sample
matrix","analytes
requested",ammonia_uM/liter,orthophosphate_uM/liter
cyano,20170914W2,freshwater,NH4/PO46,0.80,0.11
cyano,20170914W3,freshwater,NH4/PO47,0.77,0.10
cyano,20170914Y1,freshwater,NH4/PO48,0.50,0.00
cyano,20170914Y2,freshwater,NH4/PO49,0.38,0.00
cyano,20170914Y3,freshwater,NH4/PO50,0.50,0.00
cyano,20170918W1,freshwater,NH4/PO51,0.64,0.04
cyano,20170918W2,freshwater,NH4/PO52,0.81,0.14
cyano,20170918W3,freshwater,NH4/PO53,0.54,0.08
cyano,20170918Y1,freshwater,NH4/PO54,0.47,0.00
cyano,20170918Y2,freshwater,NH4/PO55,0.42,0.00
cyano,20170918Y3,freshwater,NH4/PO56,0.41,0.00
cyano,20170925W1,freshwater,NH4/PO57,14.86,0.07
cyano,20170925W2,freshwater,NH4/PO58,13.89,0.00
cyano,20170925W3,freshwater,NH4/PO59,15.36,0.00
cyano,20170925Y1,freshwater,NH4/PO60,0.00,0.00
cyano,20170925Y2,freshwater,NH4/PO61,10.00,0.00
cyano,20170925Y3,freshwater,NH4/PO62,0.35,0.00
cyano,20170927W1,freshwater,NH4/PO63,10.73,0.04
cyano,20170927W2,freshwater,NH4/PO64,10.76,0.06
cyano,20170927W3,freshwater,NH4/PO65,11.12,0.05
cyano,20170927Y1,freshwater,NH4/PO66,0.50,0.00
cyano,20170927Y2,freshwater,NH4/PO67,0.44,0.00
cyano,20170927Y3,freshwater,NH4/PO68,0.46,0.00
cyano,20171002W1,freshwater,NH4/PO69,14.37,0.24
cyano,20171002W2,freshwater,NH4/PO70,16.15,0.00
cyano,20171002W3,freshwater,NH4/PO71,15.18,0.00
cyano,20171002Y1,freshwater,NH4/PO72,0.72,0.00
cyano,20171002Y2,freshwater,NH4/PO73,0.30,0.00
cyano,20171002Y3,freshwater,NH4/PO74,0.43,0.00
cyano,20171004W1,freshwater,NH4/PO75,16.65,0.00
cyano,20171004W2,freshwater,NH4/PO76,15.58,0.00
cyano,20171004W3,freshwater,NH4/PO77,15.71,0.07
cyano,20171004Y1,freshwater,NH4/PO78,0.58,0.00
cyano,20171004Y2,freshwater,NH4/PO79,0.57,0.00
cyano,20171004Y3,freshwater,NH4/PO80,0.59,0.00
cyano,20171010W1,freshwater,NH4/PO81,15.67,0.22
cyano,20171010W2,freshwater,NH4/PO82,16.03,0.23
cyano,20171010W3,freshwater,NH4/PO83,14.91,0.34
cyano,20171010Y1,freshwater,NH4/PO84,0.78,0.00
cyano,20171010Y2,freshwater,NH4/PO85,0.81,0.00
cyano,20171010Y3,freshwater,NH4/PO86,0.84,0.00
